# Time-averaged data for fix global_out
# TimeStep v_nmobile v_nbank v_noutlet f_outlet c_sum_contact c_max_contact c_sum_ke c_sum_erot c_bank_contact c_bank_ke c_bank_erot
372000 99747 83442 0 6620 656 2 1.35639e-05 8.42178e-07 634 1.0423e-05 7.81582e-07
374000 99555 83784 0 6812 674 2 1.35529e-05 8.41534e-07 650 1.04654e-05 7.8024e-07
376000 99360 84298 0 7007 619 2 1.35367e-05 8.43474e-07 599 1.05391e-05 7.8195e-07
378000 99134 85196 0 7233 635 2 1.35049e-05 8.43659e-07 616 1.06894e-05 7.82457e-07
380000 98930 86209 0 7437 699 2 1.34636e-05 8.48042e-07 687 1.0846e-05 7.87172e-07
382000 98728 86307 0 7639 626 2 1.34193e-05 8.54106e-07 618 1.08258e-05 7.92849e-07
384000 98525 86351 0 7842 662 2 1.3364e-05 8.59079e-07 642 1.07899e-05 7.97491e-07
386000 98330 86432 0 8037 766 2 1.33112e-05 8.56864e-07 757 1.07634e-05 7.95239e-07
388000 98137 86455 0 8230 703 2 1.32653e-05 8.5715e-07 679 1.07369e-05 7.94627e-07
390000 97929 86538 0 8438 705 2 1.32108e-05 8.55389e-07 687 1.07201e-05 7.91958e-07
392000 97715 86592 0 8652 690 2 1.31587e-05 8.52426e-07 675 1.07017e-05 7.88714e-07
394000 97488 86661 0 8879 728 2 1.30993e-05 8.50411e-07 719 1.06867e-05 7.8707e-07
396000 97273 86696 0 9094 692 3 1.3056e-05 8.46661e-07 674 1.06671e-05 7.81806e-07
398000 105674 86822 0 9302 726 2 1.41056e-05 8.41952e-07 690 1.06697e-05 7.76277e-07
400000 105443 86910 0 9533 630 2 1.40816e-05 8.37891e-07 611 1.06613e-05 7.72422e-07
402000 105191 87009 0 9785 681 2 1.40636e-05 8.33036e-07 663 1.06647e-05 7.68131e-07
404000 104944 87219 0 10032 720 2 1.40458e-05 8.31336e-07 690 1.0688e-05 7.66284e-07
406000 104708 87499 0 10268 672 3 1.40313e-05 8.28524e-07 651 1.07222e-05 7.63193e-07
408000 104486 87887 0 10490 705 2 1.4012e-05 8.31836e-07 679 1.07696e-05 7.66869e-07
410000 104253 88593 0 10723 652 2 1.39855e-05 8.34896e-07 640 1.08727e-05 7.70459e-07
412000 104039 89692 0 10937 656 3 1.3967e-05 8.34988e-07 637 1.10492e-05 7.70382e-07
414000 103786 89942 0 11190 742 3 1.39248e-05 8.3838e-07 714 1.10623e-05 7.75423e-07
416000 103519 89895 0 11457 793 2 1.38598e-05 8.42942e-07 773 1.10146e-05 7.79874e-07
418000 103253 89854 0 11723 812 3 1.37978e-05 8.43881e-07 792 1.09716e-05 7.80985e-07
420000 102997 89807 0 11979 790 2 1.37484e-05 8.41922e-07 763 1.09324e-05 7.79282e-07
422000 102739 89799 0 12237 683 2 1.36977e-05 8.42234e-07 659 1.08999e-05 7.79829e-07
424000 102466 89762 0 12510 782 2 1.364e-05 8.40088e-07 764 1.08606e-05 7.7753e-07
426000 102193 89779 0 12783 728 2 1.35885e-05 8.34241e-07 700 1.08392e-05 7.71808e-07
428000 101921 89744 0 13055 789 3 1.3526e-05 8.30225e-07 776 1.08065e-05 7.66955e-07
430000 110460 89772 0 13358 826 2 1.45758e-05 8.25545e-07 785 1.07878e-05 7.63744e-07
432000 110164 89833 0 13654 767 2 1.45471e-05 8.24035e-07 733 1.07844e-05 7.61301e-07
434000 109853 89877 0 13965 737 2 1.45146e-05 8.19165e-07 695 1.07763e-05 7.54603e-07
436000 109526 90013 0 14292 769 2 1.44713e-05 8.18542e-07 747 1.07814e-05 7.54993e-07
438000 109213 90208 0 14605 745 2 1.44304e-05 8.18386e-07 711 1.0799e-05 7.54558e-07
440000 108918 90535 0 14900 751 2 1.4395e-05 8.15394e-07 709 1.08424e-05 7.53098e-07
442000 108592 91050 0 15226 712 3 1.43451e-05 8.16076e-07 688 1.09141e-05 7.54481e-07
444000 108276 91888 0 15542 791 2 1.42885e-05 8.19306e-07 757 1.10426e-05 7.58537e-07
446000 107939 92577 0 15879 838 2 1.42231e-05 8.23011e-07 812 1.11347e-05 7.61704e-07
448000 107613 92546 0 16205 797 2 1.41378e-05 8.30088e-07 756 1.10815e-05 7.69087e-07
450000 107281 92455 0 16537 844 3 1.4057e-05 8.333e-07 822 1.1027e-05 7.71483e-07
452000 106957 92382 0 16861 850 2 1.39743e-05 8.3005e-07 819 1.0979e-05 7.68389e-07
454000 106656 92343 0 17162 800 2 1.39092e-05 8.27864e-07 778 1.09395e-05 7.65724e-07
456000 106337 92290 0 17481 843 2 1.38296e-05 8.25817e-07 827 1.08964e-05 7.63112e-07
458000 105980 92266 0 17838 906 2 1.37556e-05 8.22034e-07 867 1.08668e-05 7.59754e-07
460000 105628 92234 0 18190 824 2 1.36755e-05 8.1812e-07 779 1.0835e-05 7.56114e-07
462000 114450 92215 0 18552 859 3 1.47568e-05 8.12422e-07 821 1.08131e-05 7.50328e-07
464000 114086 92221 0 18916 795 2 1.47081e-05 8.08763e-07 768 1.07988e-05 7.47248e-07
466000 113743 92250 0 19259 777 2 1.46745e-05 8.05261e-07 759 1.07999e-05 7.43301e-07
468000 113419 92377 0 19583 841 2 1.46425e-05 8.03019e-07 801 1.0812e-05 7.41238e-07
470000 113075 92484 0 19927 810 2 1.46115e-05 8.02074e-07 771 1.08242e-05 7.40861e-07
472000 112724 92670 0 20278 805 2 1.4576e-05 7.98114e-07 764 1.08534e-05 7.36921e-07
474000 112387 93063 0 20615 809 3 1.45439e-05 7.95455e-07 785 1.09139e-05 7.34942e-07
476000 112047 93834 0 20955 800 3 1.45069e-05 7.98106e-07 760 1.10437e-05 7.37895e-07
478000 111701 94791 0 21301 861 2 1.44587e-05 8.01522e-07 821 1.11927e-05 7.42304e-07
480000 111355 94740 0 21647 789 2 1.44003e-05 8.05607e-07 761 1.11567e-05 7.46571e-07
482000 111024 94639 0 21978 875 2 1.43341e-05 8.07902e-07 845 1.11029e-05 7.49101e-07
484000 110681 94537 0 22321 826 2 1.42647e-05 8.09135e-07 793 1.10501e-05 7.50908e-07
486000 110322 94427 0 22680 916 2 1.41966e-05 8.08456e-07 875 1.09972e-05 7.50958e-07
488000 109950 94363 0 23052 897 2 1.41255e-05 8.06438e-07 853 1.09626e-05 7.48567e-07
490000 109581 94303 0 23421 934 2 1.40507e-05 8.07643e-07 886 1.09254e-05 7.49441e-07
492000 109205 94271 0 23797 893 2 1.39812e-05 8.05461e-07 854 1.09004e-05 7.46871e-07
494000 108810 94232 0 24192 878 3 1.39052e-05 8.04822e-07 829 1.0876e-05 7.46114e-07
496000 117115 94284 0 24575 861 2 1.49391e-05 8.02691e-07 813 1.0871e-05 7.44403e-07
498000 116729 94319 0 24961 862 2 1.48838e-05 8.03928e-07 830 1.08558e-05 7.45396e-07
500000 116350 94415 0 25340 868 2 1.48382e-05 7.99364e-07 822 1.08625e-05 7.40701e-07
502000 115956 94556 0 25734 892 2 1.47924e-05 7.94989e-07 852 1.0876e-05 7.36504e-07
504000 115542 94802 0 26148 893 2 1.47409e-05 7.97878e-07 857 1.09127e-05 7.40119e-07
506000 115159 95178 0 26531 812 3 1.46916e-05 7.96757e-07 772 1.09701e-05 7.39392e-07
508000 114761 95823 0 26929 895 3 1.46375e-05 7.9404e-07 849 1.10791e-05 7.36969e-07
510000 114353 96827 0 27337 925 2 1.45722e-05 7.93268e-07 872 1.12538e-05 7.37463e-07
512000 113951 97071 0 27739 879 2 1.44955e-05 8.02272e-07 856 1.12677e-05 7.46856e-07
514000 113566 96914 0 28124 970 2 1.44077e-05 8.07974e-07 942 1.1206e-05 7.51828e-07
516000 113169 96760 0 28521 923 2 1.43127e-05 8.09486e-07 884 1.11395e-05 7.53797e-07
